id,联合国编号,名称和说明,英文名称和说明,类别或项别,次要危险性,包装类别,特殊规定,有限数量,例外数量,包装和中型散装容器包装指南,包装和中型散装容器特殊包装规定,可移动罐柜和散装容器指南,可移动罐柜和散装容器特殊规定,创建时间,更新时间
1,4,苦味酸钱，干的或湿的，按 质量含水低于10%,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass",11D,,,,0,E0,P112(a) P112(b) P112(c),PP26,,,2025-08-18 21:43:03,2025-08-18 21:43:03
2,5,武器子（炮）弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1F,,,,0,E0,P130 LP101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
3,6,武器子（炮）弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,1.1E,,,,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
4,7,武器子（炮）弹，带爆破 装药,CARTRIDGES FOR WEAPONS with bursting charge,12F,,,,0,E0,P130 LP101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
5,9,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",12G,,,,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
6,10,燃烧弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge",13G,,,,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
7,12,武器子（炮）弹，带惰性射 弹或轻武器子弹,"CARTRIDGES FOR WEAPONS, INERTPROJECTILE or CARTRIDGES, SMALL ARMS",14S,,,364,5 kg,E0,P130 LP101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
8,14,武器子（炮）弹，空包弹；或 轻武器子弹，空包弹；或工 具子弹，空包弹,"CARTRIDGES FOR WEAPONS, BLANK or CARTRIDGES, SMALL ARMS, BLANK or CARTRIDGES FOR TOOLS,BLANK",14S,,,364,5 kg,E0,P130 LP101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
9,15,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",12G,,,204,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
10,16,发烟弹药，带或不带爆破 装药、发射装药或推进 装药,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge",13G,,,204,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
11,18,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",12G,6.1 8,,,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
12,19,催泪弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge",13G,6.1 8,,,0,E0,P130 LP101,PP67 L1,,,2025-08-18 21:43:03,2025-08-18 21:43:03
13,20,毒性弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",12K,6.1,,274,0,E0,P101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
14,21,毒性弹药，带有爆破装药、 发射装药或推进装药,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",13K,6.1,,274,0,E0,P101,,,,2025-08-18 21:43:03,2025-08-18 21:43:03
15,27,黑火药（火药），颗粒状或 粉状,"BLACK POWDER(GUNPOWDER) , granular or as a meal",11D,,,,0,E0,P113,PP50,,,2025-08-18 21:43:03,2025-08-18 21:43:03
16,28,压缩黑火药（火药）或丸状 黑火药（火药）,"BLACK POWDER(GUNPOWDER), COMPRESSED or BLACK POWDER (GUNPOWDER), IN PELLETS",11D,,,,0,E0,P113,PP51,,,2025-08-18 21:43:03,2025-08-18 21:43:03
17,29,非电引爆雷管，爆破用,"DETONATORS, NON-ELECTRIC for blasting",1.1B,,,,0,E0,P131,PP68,,,2025-08-18 21:43:03,2025-08-18 21:43:03
